Superhelden,AA,AB,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX
Person,Aquaman,Batman,Deadpool,Electro,Flash,Groot,Hulk,Iron (Man),Joker,Kung (Fu Panda),Loki,Magneto,Ninja (Turtle),Optimus (Prime),(Black) Panther,Quiksilver,Robin (Hood),Spider (Man),Thor,Ultron,Venom,Wolverine,(Thanos)
Action,... mit Dreizack aufspießen,... mit Batmobile umfahren,... Beine nachwachsen lassen,... tasern,... umrennen,... mit Wurzeln umschlingen,... als Hulk smashen,Als Iron Man ... abwehren,... auf Bleistift aufspießen,... Kung fu kicken,... mit Hornhelm aufspießen,... mit Eisenkugeln durchlöchern,... mit Panzer abwehren,... mit Lastwagen überfahren,An ... anschleichen ,In Zeitlupe auf ... zu sprinten,... mit Bogen abschießen,... mit Spinnennetz abschießen,... wie Mjölnir (am Griff) hochheben,... mit Energie Projektion zerstören,... als ganzes verschlingen,... mit Handklingen zerfleischen,... mit Gauntlet schnipsen
Object,Dreizack,Batmobile,Beine,Strommast,Goldener Blitz,Wurzeln,Grüne Faust,Archreaktor,Bleistift,Baozi,Goldener Hornhelm,Eisenkugeln,Schildkrötenpanzer,Lastwagen,Schwarzer Panther,Silberne Lederjacke,Bogen,Spinnennetz,Mjölnir,Energieball,Schwarze Masse,Handklingen,Infinity Gauntlet
Breaking Bad,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX
Person,Andrea (Cantillo),"Brandon ""Badger"" (Mayhew)",Donald (Margolis),Elliott (Schwartz),(Gale Boetticher),(Saul) Goodman,Hank (Schrader),(Jane Margolis),Jesse (Pinkman),Krazy-8,Lydia,Mike (Ehrmantraut),No-Doze,"(Christian ""Combo"") Ortega",(Skinny) Pete,(Marie) Schrader,(Hector Salamanca),Skyler (White),Todd (Alquist),(Wendy),Victor,Walter White,(Tuco Salamanca)
Action,... mit Schalldämpferpistole abschießen,... aufpumpen,Auf ... mit Flugzeug hineinstürzen,... mit Laserpointer anleuchten,... mit Bunsenbrenner erhitzen,... Headset aufsetzen,... polieren,... mi Löffel füttern,... Mütze überziehen,Auf ... Pitbull loslassen,An ... GPS-Sender anbringen,... mit Kaktus pieksen,... mit Schlagring schlagen,... mit drei Bechern zaubern,Auf ... setzen,... hinterm Rücken verstecken,... als Glocke klingeln,... schimpfen,... in Teppich einrollen,... mit Gebiss knacken,... mit Teppichmesser schneiden,... in Pizzaofen backen,... schnupfen
Object,Schalldämpfer,Luftpumpe,Flugzeug,Laserpointer,Bunsenbrenner,Headset,Edelstein,Löffel,Mütze,Pitbull,GPS-Sender,Kaktus,Schlagring,Fast Food Becher,Sessel,Aubergine,Glocke,Bacon,JBL-Box,Gebiss,Teppichmesser,Pizza,Crystal Meth
Walking Dead,DA,DB,DD,DE,DF,DG,DH,DI,DJ,DK,DL,DM,DN,DO,DP,DQ,DR,DS,DT,DU,DV,DW,DX
Person,Aaron,Beth,Darryl,Eugene,(Abraham) Ford,Governor,Hershel,(Yumiko),Judith,(Carl),Lori,Michonne,Negan,Otis,(Carol) Peletier,Shane,Rick,Sasha,Tyreese,(Maggie),Victor,Dwight,(Zombie)
Action,... mit Morgenstern zertrümmern,... mit Milchflasche stillen,... festzurren,... mit Drohne filmen,... mit Raketenwerfer explodieren,... mit Glasscherbe stechen,... mit Krücken schlagen,... in Reiskocher kochen,... in Babyschale herumtragen,... unter Hut hervorzeigen,... gebären,... mit Katana zerschneiden,... mit Lucille zertrümmern,... wasserwaagen,... zum trocknen aufhängen,... frittieren,... mit Revolver erschießen,... in Mörser zerstampfen,... mit Hammer schlagen,... mit Helikopter abholen,... mit Yacht Motor schreddern,... mit Bügeleisen bügeln,... mit Gedärme beschmieren
Object,Morgenstern,Milchflasche,Motorrad,Drohne,Raketenwerfer,Glasscherbe,Krücken,Reiskocher,Babyschale,Cowboyhut,Baby,Katana,Lucille,Wasserwaage,Damenbinde,Pommes,Revolver,Mörser,Hammer,Helikopter,Yacht Motor,Bügeleisen,Gedärme
The Boys,EA,EB,ED,EE,EF,EG,EH,EI,EJ,EK,EL,EM,EN,EO,EP,EQ,ER,ES,ET,EU,EV,EW,EX
Person,A-Train,Billy Butcher,(The) Deep,Ezekiel,Frenchie,Grace,Homelander,(Ashley),(Donna) January,Kimiko,Lamplighter,Marvin,(Black) Noir,(Soldier Boy),(Becca Butcher),Queen (Maeve),Ryan,Starlight,Translucent,(Hughie),Victoria,(Stan Edgar),(Stormfront)
Action,Über ... Hula Hoop Reifen werfen,... mit Duschkopf abspritzen,... mit Tentakeln umschlingen,... in Müllsack stecken,... mit Kanone abschießen,... schütteln,... mit Laseraugen schneiden,... metalldetektieren,... hamstern,... mit Stäbchen greifen,... mit Zippo anzünden,... in Mixer mixen,... mit Duschgel bespritzen,... mit Schild abwehren,Grabstein auf ... kippen,... mit Zepter schlagen,Über ... beugen,... blenden,... mit C4 explodieren lassen,... eingipsen,... implodieren lassen,... die Krawatte richten,Zunge auf ... spucken
Object,Hula Hoop Reifen,Duschkopf,Oktopus,Müllsack,Kanone,Schneekugel,USA Flagge,Metalldetektor,Kekse,Sushi,Zippo,Mixer,Duschgel,Schild,Grabstein,Zepter,Dachschindel,Stern,C4,Gipsarm,Gehirn,Krawatte,Zunge
Familie/Freunde,FA,FB,FD,FE,FF,FG,FH,FI,FJ,FK,FL,FM,FN,FO,FP,FQ,FR,FS,FT,FU,FV,FW,FX
Person,Annika,(Jakob) Brückner,Dominik (Huber),(André),Florian (Rößler),(Adrian) Goudschmidt,(Thomas) Huber,(Johannes Hunecke),Julian (Müller),Karin,Lea,Marcel,Narciso,(Alessio),Peter (Köhler),(Philipp) Schramm,Robert,Simon,Timo,Uschi,(Steven Mehrer),(Adrian Zimmermann),(Zuzanna)
Action,... auf Trampolin bouncen,... mit kochendem Wasser übergießen,... taufen,... wiegen,... in Hängematte legen,... angeln,... 3D-drucken,... in Regentonne stecken,... Heiratsantrag machen,Auf ... segeln,... streicheln,... mit Kabel aufladen,... wiederbeleben,... als Handy nutzen (telefonieren),Mit Sticks auf ... trommeln,Auf ... mit Skateboard fahren,... in Schubkarre schieben,... erwürgen,... drehen,... stricken,... abstempeln,... sieben (dabei finden),... schminken
Object,Trampolin,Instantnudeln,Weißbier,Waage,Hängematte,Angel,3D-Drucker,Regentonne,Playstation,Katamaran,Fahrrad,Laptop,Flossen,Handy,Schlagzeug,Skateboard,Schubkarre,Gi,Zauberwürfel,Socken,Stempel,Sieb,Lippenstift
GoT,GA,GB,GD,GE,GF,GG,GH,GI,GJ,GK,GL,GM,GN,GO,GP,GQ,GR,GS,GT,GU,GV,GW,GX
Person,Arya (Stark),(Der) Berg,Daenerys (Targaryen),Eddard (Stark),(Walder) Frey,Gendry,Hodor,(Ygritte),Jaime (Lannister),Kleinfinger,Lysa (Arryn),Melisandre,(Daario) Naharis,Oberyn,Podrick,(Jon) Schnee,Ramsay (Bolton),Samwell (Tarly),Tyrion (Lannister),(Margaery Tyrell),Varys,(Grauer) Wurm,(Cersei Lannister)
